customer_id,age,service_segment,signup_channel,primary_device,tenure_months,contract_type,plan_tier,num_services,has_family_plan
CX00001,37,Streaming,Referral,Mobile,16,Month-to-month,Premium,6,False
CX00002,28,Cloud Storage,Paid Social,Desktop,12,Annual,Plus,6,True
CX00003,49,Productivity,Organic Search,Tablet,4,Month-to-month,Standard,1,False
CX00004,42,Fintech,Email Campaign,Desktop,10,Month-to-month,Plus,8,False
CX00005,30,Fintech,Organic Search,Mobile,14,Month-to-month,Basic,1,True
CX00006,37,Productivity,Influencer,Desktop,11,Annual,Plus,3,False
CX00007,18,Productivity,Organic Search,Mobile,27,Two year,Plus,5,True
CX00008,25,Fintech,Organic Search,Desktop,23,Month-to-month,Basic,1,False
CX00009,25,Productivity,App Store,Mobile,22,Annual,Standard,2,False
CX00010,29,Cloud Storage,Referral,Smart TV,29,Month-to-month,Premium,4,True
CX00011,32,Fintech,Organic Search,Mobile,12,Two year,Standard,3,False
CX00012,56,Cloud Storage,Referral,Mobile,63,Two year,Premium,3,True
CX00013,42,Fintech,Paid Social,Desktop,46,Annual,Plus,2,False
CX00014,41,Cloud Storage,Organic Search,Mobile,30,Annual,Plus,1,True
CX00015,33,Cloud Storage,Influencer,Desktop,5,Month-to-month,Premium,6,True
CX00016,36,Productivity,App Store,Desktop,10,Annual,Plus,1,False
CX00017,43,Gaming,Organic Search,Mobile,27,Month-to-month,Plus,1,False
CX00018,32,News & Media,Organic Search,Smart TV,1,Month-to-month,Standard,5,True
CX00019,37,Streaming,Email Campaign,Mobile,9,Month-to-month,Premium,4,False
CX00020,28,Streaming,Email Campaign,Mobile,10,Month-to-month,Basic,3,False
CX00021,44,News & Media,Organic Search,Desktop,29,Month-to-month,Basic,2,False
CX00022,34,News & Media,Referral,Desktop,8,Month-to-month,Basic,1,False
CX00023,26,Fintech,Paid Social,Desktop,17,Annual,Plus,3,False
CX00024,47,Fitness,Paid Social,Mobile,19,Month-to-month,Basic,2,False
CX00025,41,Cloud Storage,Organic Search,Mobile,16,Month-to-month,Premium,7,False
CX00026,18,Streaming,Paid Social,Mobile,28,Month-to-month,Basic,1,False
CX00027,18,Productivity,App Store,Mobile,11,Month-to-month,Standard,4,True
CX00028,18,Cloud Storage,Organic Search,Mobile,31,Annual,Basic,4,False
CX00029,51,Fintech,Referral,Mobile,17,Month-to-month,Basic,2,False
CX00030,41,Streaming,Organic Search,Tablet,23,Month-to-month,Basic,1,False
CX00031,52,Productivity,Email Campaign,Mobile,9,Month-to-month,Plus,2,False
CX00032,34,Fintech,Paid Social,Mobile,34,Two year,Basic,3,True
CX00033,46,Gaming,Paid Social,Tablet,17,Annual,Plus,2,False
CX00034,33,Streaming,Paid Social,Tablet,38,Annual,Standard,4,True
CX00035,46,Fintech,Organic Search,Mobile,14,Month-to-month,Standard,2,False
CX00036,18,News & Media,Influencer,Smart TV,41,Two year,Standard,1,False
